State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production
Alabama,10,40,400,120,5.45,2180
Arizona,34,42,1428,600,2.23,3184
Arkansas,19,46,874,131,3.2,2797
California,324,42,13608,5035,2.27,30890
Colorado,25,41,1025,195,3.69,3782
Florida,147,32,4704,706,2.95,13877
Georgia,77,33,2541,152,3.43,8716
Idaho,92,32,2944,442,1.63,4799
Illinois,9,49,441,146,7.05,3109
,,,,,,
Indiana,9,53,477,329,4.34,2070
Iowa,40,66,2640,739,2.99,7894
Kansas,5,52,260,86,5.41,1407
Kentucky,10,30,300,84,6.21,1863
Louisiana,32,45,1440,101,3.9,5616
Maine,12,18,216,41,4.46,963
Michigan,70,55,3850,924,2.84,10934
Minnesota,106,58,6148,861,1.99,12235
Mississippi,19,42,798,367,3.02,2410
Missouri,9,43,387,101,4.81,1861
,,,,,,
Montana,114,85,9690,3392,2,19380
Nebraska,33,48,1584,554,2.26,3580
New Jersey,15,36,540,54,7.16,3866
New York,41,58,2378,761,4.59,10915
North Carolina,11,44,484,179,6.02,2914
North Dakota,511,75,38325,9198,1.77,67835
Ohio,20,65,1300,546,5.23,6799
Oregon,90,37,3330,1099,2.71,9024
Pennsylvania,20,55,1100,638,4.96,5456
South Carolina,11,52,572,114,4.53,2591
,,,,,,
South Dakota,212,87,18444,12542,2.02,37257
Tennessee,12,40,480,77,6,2880
Texas,111,35,3885,505,3.01,11694
Utah,24,42,1008,202,1.92,1935
Vermont,6,49,294,76,5.09,1496
Virginia,5,39,195,82,8.58,1673
Washington,83,27,2241,740,2.71,6073
West Virginia,6,51,306,177,6.35,1943
Wisconsin,62,45,2790,1004,3.02,8426
Wyoming,27,78,2106,400,1.64,3454
,,,,,,
Other States 5/ 6/,46,66,3038,516,4.68,14218
,,,,,,
United States 6/ 7/,2509,55.2,138571,44016,2.52,349199
